,y,x0,x1,x2,x3,x4,x5,x6
0,0,12628,37730,39991,-1,-1,-1,-1
1,0,8525,8279,51012,-1,-1,-1,-1
2,1,14871,15127,9366,33322,53390,-1,-1
3,0,21819,5026,23428,45297,-1,-1,-1
4,0,26354,30195,47038,20731,-1,-1,-1
5,0,34047,26064,42469,29746,-1,-1,-1
6,0,14522,31572,54949,-1,-1,-1,-1
7,0,19368,3803,53325,-1,-1,-1,-1
8,0,14300,51301,9008,47521,25224,48921,-1
9,0,37978,44171,26303,-1,-1,-1,-1
10,0,19458,5369,50291,-1,-1,-1,-1
11,0,25951,54908,56362,-1,-1,-1,-1
12,1,32218,2885,36559,8966,-1,-1,-1
13,1,46574,10530,44628,273,-1,-1,-1
14,0,19269,36911,10121,-1,-1,-1,-1
15,0,13290,57606,47189,29209,-1,-1,-1
16,0,42187,25386,17005,10981,47313,27070,-1
17,0,6685,54960,58125,40700,-1,-1,-1
18,0,13902,31539,49716,49519,51923,3502,-1
19,0,39336,2218,18505,10689,21377,-1,-1
20,0,1866,20192,28870,-1,-1,-1,-1
21,1,52203,3867,3222,21785,-1,-1,-1
22,0,20984,48539,40694,8440,9951,1334,-1
23,1,32572,28344,46503,34482,36271,-1,-1
24,0,36874,11512,23847,9937,52122,-1,-1
25,0,9189,55990,11744,34545,-1,-1,-1
26,0,13152,13059,49858,52310,-1,-1,-1
27,0,8914,42178,9199,37940,54184,-1,-1
28,0,48596,58585,8063,-1,-1,-1,-1
29,0,21052,30487,7528,-1,-1,-1,-1
30,0,9935,31354,48001,49675,49979,34356,-1
31,0,38895,46280,9073,-1,-1,-1,-1
32,0,24961,476,16358,24839,24915,-1,-1
33,0,15359,16242,33821,31935,48297,-1,-1
34,0,25311,4402,52611,27692,36474,-1,-1
35,0,33603,24219,41145,-1,-1,-1,-1
36,1,31168,31382,57527,48272,23534,45163,-1
37,0,5874,30088,59052,-1,-1,-1,-1
38,0,17179,45513,39996,8478,36198,50196,-1
39,0,52352,52625,37788,-1,-1,-1,-1
40,0,212,4248,26773,47225,38606,-1,-1
41,0,47023,50318,7984,16164,15325,-1,-1
42,0,53791,59920,21634,5748,-1,-1,-1
43,0,40744,2095,51747,-1,-1,-1,-1
44,0,38858,30281,9134,-1,-1,-1,-1
45,0,6994,43502,9998,22494,-1,-1,-1
46,1,50702,26457,56099,21543,1422,-1,-1
47,1,11024,16732,12678,-1,-1,-1,-1
48,1,26242,32673,29542,54773,-1,-1,-1
49,0,49177,28872,39283,-1,-1,-1,-1
50,0,23532,4614,3131,11988,52076,32090,-1
51,0,27585,42027,44318,42226,57247,-1,-1
52,1,31638,35827,1638,20715,28297,57718,-1
53,0,43545,31505,27797,39025,22799,-1,-1
54,1,52766,58622,54014,21130,-1,-1,-1
55,0,27060,27917,16695,56034,23494,-1,-1
56,0,6650,7055,27375,21138,39320,-1,-1
57,0,52445,3882,29068,32248,-1,-1,-1
58,1,4503,40877,22561,6100,34308,-1,-1
59,0,24049,53726,25880,-1,-1,-1,-1
60,1,19672,48144,32225,45553,-1,-1,-1
61,0,21356,16981,52798,52039,-1,-1,-1
62,1,50746,16187,431,40219,-1,-1,-1
63,0,15074,44762,45788,30235,18237,14041,-1
64,0,22590,49024,19260,19485,12859,109,-1
65,0,8404,18719,40675,37635,49243,-1,-1
66,0,14504,46108,9634,4948,-1,-1,-1
67,0,20784,59370,1477,47899,8034,-1,-1
68,0,57864,42479,52624,-1,-1,-1,-1
69,1,2980,54612,49686,31067,-1,-1,-1
70,0,51402,30360,39587,-1,-1,-1,-1
71,1,27423,40082,12579,21816,15697,-1,-1
72,0,2449,5712,12189,24478,39503,34666,-1
73,0,11061,38989,40573,27951,6481,-1,-1
74,0,13802,30378,59360,-1,-1,-1,-1
75,0,57070,39595,58164,27017,-1,-1,-1
76,0,22818,46954,32897,19140,35982,-1,-1
77,0,35314,41927,5567,29120,-1,-1,-1
78,1,52973,22033,57748,27735,37460,28895,-1
79,1,52036,41421,19331,41408,12102,31550,-1
80,1,38045,28331,44001,22718,39788,51177,-1
81,1,33460,32120,36215,7209,-1,-1,-1
82,0,30319,46842,14857,15118,15712,-1,-1
83,0,40208,11832,22956,10947,-1,-1,-1
84,0,48734,16599,11615,26501,-1,-1,-1
85,1,16890,48830,55025,44878,28889,-1,-1
86,0,45754,20066,4465,41189,47301,8773,-1
87,1,13609,26233,35189,37447,890,49980,-1
88,0,6556,58537,30455,40884,6821,-1,-1
89,0,20987,23272,51232,15538,-1,-1,-1
90,0,3564,6916,20749,13933,-1,-1,-1
91,0,9267,18641,52482,22013,6954,47094,-1
92,0,44570,38389,21993,-1,-1,-1,-1
93,0,16228,38048,8935,-1,-1,-1,-1
94,0,18063,43766,37815,-1,-1,-1,-1
95,0,42967,34286,45209,54779,-1,-1,-1
96,0,30705,51972,29089,44988,-1,-1,-1
97,0,15145,48565,33019,57071,10115,23635,-1
98,0,44508,22126,35080,-1,-1,-1,-1
99,1,59634,9022,38522,17532,15597,53774,-1
100,0,10674,3495,39355,56019,22691,42935,-1
101,0,37624,53449,58817,56649,43011,16064,-1
102,0,16377,37154,23774,51819,21666,-1,-1
103,0,31418,57726,50892,-1,-1,-1,-1
104,0,36223,27635,50528,-1,-1,-1,-1
105,1,21538,7638,58568,11482,24993,-1,-1
106,0,36372,51020,6491,5114,33928,-1,-1
107,0,8668,28058,729,-1,-1,-1,-1
108,0,59608,42106,7515,15382,25423,-1,-1
109,0,1792,37184,17161,57115,57034,22989,-1
110,0,50904,17466,21231,32908,-1,-1,-1
111,0,9266,24206,30613,44147,37378,23072,-1
112,0,8331,33832,21757,-1,-1,-1,-1
113,0,47674,17108,54,5785,41793,-1,-1
114,0,5012,6357,39556,44746,-1,-1,-1
115,0,971,16813,3077,-1,-1,-1,-1
116,0,55502,34035,50234,37556,2399,-1,-1
117,1,45768,3593,24801,9544,-1,-1,-1
118,1,43768,56762,26912,1566,-1,-1,-1
119,0,2101,15599,35965,20966,44985,-1,-1
120,0,48962,20265,47272,943,-1,-1,-1
121,0,25024,31395,56996,-1,-1,-1,-1
122,1,43091,3437,86,23460,13361,-1,-1
123,0,58932,28972,1180,7613,48724,17008,-1
124,0,26575,49902,32841,-1,-1,-1,-1
125,0,46150,36334,15179,-1,-1,-1,-1
126,0,37453,20832,16853,28215,43165,-1,-1
127,0,54016,34811,6390,28736,50913,-1,-1
128,0,53375,44824,34793,564,-1,-1,-1
129,0,47253,7327,41854,-1,-1,-1,-1
130,0,33347,38874,55396,4884,-1,-1,-1
131,0,36596,26725,41760,-1,-1,-1,-1
132,1,36206,40068,31549,-1,-1,-1,-1
133,0,16033,16916,35552,45694,44901,5090,-1
134,0,8703,55232,29196,-1,-1,-1,-1
135,0,58976,12335,44951,38275,-1,-1,-1
136,0,27237,24416,3416,24672,-1,-1,-1
137,0,51430,8239,27288,6366,43654,53841,-1
138,1,11607,39810,25776,13396,-1,-1,-1
139,0,42786,2777,26595,28719,29560,-1,-1
140,0,22934,11597,38117,39003,49960,9722,-1
141,1,31767,40255,40165,54707,-1,-1,-1
